id,title,personName,description,category,language,status,parentId,order
sp-001,Senior Pastors,"Rev. S. Y. Freddy Shembo & Rev. Beatrice Shembo","Lead the overall vision, spiritual direction, and mission of Mont Carmel Church",senior-leadership,both,active,,0
rp-001,Resident Pastor,Patrice Shingu,Oversees day-to-day church operations and supervises the executive leadership team,executive-leadership,both,active,sp-001,0
et-001,Executive Team,,"The executive leadership layer that jointly supervises all ministry systems. Both executives function as assistants to the Resident Pastor.",executive-leadership,both,active,rp-001,0
cw-001,Church-Wide Initiatives,,Special congregation-wide programs that unite the entire church body in focused spiritual activity,ministry-system,both,active,rp-001,1
ef-001,Executive Pastor – French Ministries,Pastor Roger Dinanga,"Assists the Resident Pastor in providing executive oversight across all ministry systems, with a focus on French-language expressions",executive-leadership,french,active,et-001,0
ee-001,Executive Minister – English Ministries,Minister Yanick,"Assists the Resident Pastor in providing executive oversight across all ministry systems, with a focus on English-language expressions",executive-leadership,english,active,et-001,1
we-001,Worship Experience,,Coordinates all elements of the weekend worship service and special services experience for both language congregations,ministry-system,both,vacant,et-001,2
as-001,Connections Ministry,,Helps first-time visitors and new members connect and integrate into the life of the church,ministry-system,both,vacant,et-001,3
ds-001,Discipleship & Spiritual Formation,,"Develops mature disciples through teaching, community, prayer, and spiritual disciplines",ministry-system,both,vacant,et-001,4
ng-001,Next Gen Ministry,,Ministers to the next generation — children and students and young adults — in both languages,ministry-system,both,vacant,et-001,5
pc-001,Pastoral Care & Community Life,,"Provides compassionate spiritual care and practical support to church members and their families",ministry-system,both,vacant,et-001,6
om-001,Outreach & Mission,,Extends the church's redemptive impact locally and globally through evangelism and service,ministry-system,both,vacant,et-001,7
oa-001,Operations & Administration,,"Manages the operational, financial, and logistical infrastructure that supports the mission of the church",ministry-system,both,vacant,et-001,8
ow-001,1SPJ Programs,,"An annual week of focused prayer, fasting, and worship held at the feet of Christ",program,both,active,cw-001,0
tod-001,21 Days Program,,A church-wide 21-day fasting and prayer initiative that launches the new year,program,both,active,cw-001,1
wt-001,Worship Teams,,Leads congregational worship through music and song and arts in French and English,department,both,active,we-001,0
mm-001,Communication Team,,Produces and develops original music for Mont Carmel's worship culture,department,both,active,we-001,1
pr-001,Production Teams,,"Manages audio, video, and lighting for all French and English services",department,both,active,we-001,2
gs-001,Guest Services,,Creates a warm and welcoming environment for all attendees on Sunday and at church events,department,both,active,as-001,0
ft-001,First-Time Follow-Up,,Reaches out intentionally to new visitors after their first visit to the church,department,both,active,as-001,1
ns-001,Next Steps,,Guides newcomers and members through defined spiritual growth and involvement pathways,department,both,active,as-001,2
mi-001,Membership & Integration,,Manages the membership process and supports the social integration of new members,department,both,active,as-001,3
sg-001,Small Groups,,"Organizes and supports life groups, home cells, and community circles in both languages",department,both,active,ds-001,0
pt-001,Prayer Teams,,Coordinates intercessory prayer ministries and equips the church in prayer,department,both,active,ds-001,1
bs-001,Bible Study & Sacraments,,Facilitates systematic Bible teaching and oversees sacramental practices including baptism and communion,department,both,active,ds-001,2
ld-001,Leadership Development,,"Identifies, trains, and deploys emerging leaders across all ministry areas",department,both,active,ds-001,3
prn-001,Prayer & Renewal Programs,,"Coordinates extended prayer seasons, fasting initiatives, and spiritual renewal events",department,both,active,ds-001,4
km-001,Kids Ministry,,"Nurtures the faith of children from birth through Grade 5 in a safe, engaging bilingual environment",department,both,active,ng-001,0
sm-001,Students Ministry,,Disciples middle and high school students through relevant teaching and community,department,both,active,ng-001,1
ya-001,Young Adults,,Engages adults ages 18–30 in intentional community and discipleship and leadership,department,both,active,ng-001,2
fc-001,Family Care,,"Supports families through pastoral visits, prayer, and practical assistance",department,both,active,pc-001,0
cn-001,Counseling,,Offers faith-based counseling and referral services to members in need,department,both,active,pc-001,1
mc-001,Membership Care,,Follows up with members during significant life transitions and seasons of need,department,both,active,pc-001,2
hc-001,Hospital Care,,Ministers to members and their families who are hospitalized or facing serious illness,department,both,active,pc-001,3
se-001,Special Events,,"Plans and coordinates church-wide celebrations, memorials, and special occasions",department,both,active,pc-001,4
ev-001,Evangelism,,Equips and mobilizes members to share their faith naturally in everyday life,department,both,active,om-001,0
co-001,Community Outreach,,Serves the local community through practical acts of mercy and social engagement,department,both,active,om-001,1
gm-001,Global Missions,,"Partners with missionaries, church planters, and global organizations to advance the Gospel",department,both,active,om-001,2
oadm-001,Office Admin,,Handles day-to-day administrative tasks and coordinates church office operations,department,both,active,oa-001,0
fin-001,Finance,,"Manages the church budget, accounting, giving records, and financial reporting",department,both,active,oa-001,1
fac-001,Facilities,,Maintains and manages church buildings and equipment and grounds,department,both,active,oa-001,2
tech-001,Technology,,"Supports all technology infrastructure, digital tools, and media systems",department,both,active,oa-001,3
